rate_date,from_currency,to_currency,rate
2026-08-03,USD,CAD,1.3733
2026-08-04,USD,CAD,1.3747
2026-08-05,USD,CAD,1.3739
2026-08-06,USD,CAD,1.3769
2026-08-07,USD,CAD,1.3773
2026-08-10,USD,CAD,1.3808
2026-08-11,USD,CAD,1.3767
2026-08-12,USD,CAD,1.3813
2026-08-13,USD,CAD,1.3829
2026-08-14,USD,CAD,1.3785
2026-08-17,USD,CAD,1.3803
2026-08-18,USD,CAD,1.3819
2026-08-19,USD,CAD,1.3774
2026-08-20,USD,CAD,1.3745
2026-08-21,USD,CAD,1.3727
2026-08-24,USD,CAD,1.3697
2026-08-25,USD,CAD,1.3663
2026-08-26,USD,CAD,1.3627
2026-08-27,USD,CAD,1.3630
2026-08-28,USD,CAD,1.3639
2026-08-31,USD,CAD,1.3613
