account_id,client_ref,fund_code,units,as_of_date
ACC-1001,CR-443898-D,FND-102,1485.8362,2026-07-31
ACC-1001,CR-443898-D,FND-103,1071.7366,2026-07-31
ACC-1001,CR-443898-D,FND-104,340.1573,2026-07-31
ACC-1002,CR-818622-G,FND-101,2158.9813,2026-07-31
ACC-1002,CR-818622-G,FND-102,2227.8210,2026-07-31
ACC-1002,CR-818622-G,FND-104,582.4726,2026-07-31
ACC-1002,CR-818622-G,FND-107,66.5124,2026-07-31
ACC-1002,CR-818622-G,FND-108,1604.3317,2026-07-31
ACC-1003,CR-952930-B,FND-101,723.8405,2026-07-31
ACC-1003,CR-952930-B,FND-104,732.7817,2026-07-31
ACC-1003,CR-952930-B,FND-106,559.7389,2026-07-31
ACC-1004,CR-394617-B,FND-103,1828.8159,2026-07-31
ACC-1004,CR-394617-B,FND-104,1766.5577,2026-07-31
ACC-1004,CR-394617-B,FND-106,245.8308,2026-07-31
ACC-1004,CR-394617-B,FND-109,161.9596,2026-07-31
ACC-1005,CR-964011-B,FND-103,2256.9265,2026-07-31
ACC-1005,CR-964011-B,FND-104,2254.8147,2026-07-31
ACC-1005,CR-964011-B,FND-105,2313.5888,2026-07-31
ACC-1005,CR-964011-B,FND-106,917.9226,2026-07-31
ACC-1005,CR-964011-B,FND-109,559.0598,2026-07-31
ACC-1006,CR-595853-C,FND-103,1922.6106,2026-07-31
ACC-1006,CR-595853-C,FND-104,163.6671,2026-07-31
ACC-1006,CR-595853-C,FND-107,1138.0144,2026-07-31
ACC-1007,CR-490152-D,FND-101,1301.5542,2026-07-31
ACC-1007,CR-490152-D,FND-102,1127.4682,2026-07-31
ACC-1007,CR-490152-D,FND-104,864.4489,2026-07-31
ACC-1007,CR-490152-D,FND-107,1591.2395,2026-07-31
ACC-1007,CR-490152-D,FND-108,2484.2047,2026-07-31
ACC-1008,CR-897247-G,FND-101,679.8108,2026-07-31
ACC-1008,CR-897247-G,FND-104,577.3931,2026-07-31
ACC-1008,CR-897247-G,FND-105,1542.6944,2026-07-31
