txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T501839,2026-08-26,ACC-1022,CR-996587-K,FND-106,BUY,185.5985,2026-08-26T20:02:19Z
T501843,2026-08-26,ACC-1010,CR-943043-B,FND-103,SELL,449.7087,2026-08-26T14:46:47Z
T501847,2026-08-26,ACC-1005,CR-964011-B,FND-102,SELL,112.5035,2026-08-26T15:10:58Z
T501850,2026-08-26,ACC-1016,CR-994125-A,FND-106,BUY,109.7931,2026-08-26T20:10:20Z
T501857,2026-08-26,ACC-1032,CR-613628-C,FND-103,SELL,19.1860,2026-08-26T17:30:28Z
T501858,2026-08-26,ACC-1006,CR-595853-C,FND-103,SELL,53.3745,2026-08-26T14:41:24Z
T501860,2026-08-26,ACC-1015,CR-668840-D,FND-109,BUY,105.2524,2026-08-26T21:04:15Z
T501862,2026-08-26,ACC-1005,CR-964011-B,FND-107,SELL,83.8233,2026-08-26T17:10:55Z
T501867,2026-08-26,ACC-1033,CR-884054-A,FND-107,BUY,199.4423,2026-08-26T21:56:35Z
T501874,2026-08-26,ACC-1021,CR-478599-B,FND-105,BUY,291.7000,2026-08-26T20:09:33Z
T501879,2026-08-26,ACC-1011,CR-136745-E,FND-106,SELL,22.8736,2026-08-26T21:28:41Z
T501880,2026-08-26,ACC-1012,CR-131183-C,FND-101,BUY,183.4664,2026-08-26T17:07:28Z
T501883,2026-08-26,ACC-1030,CR-910870-D,FND-105,SELL,18.6467,2026-08-26T14:10:19Z
T501884,2026-08-26,ACC-1020,CR-788569-K,FND-102,SELL,41.5478,2026-08-26T13:13:27Z
T501887,2026-08-26,ACC-1005,CR-964011-B,FND-107,BUY,290.5097,2026-08-26T20:47:46Z
T501888,2026-08-26,ACC-1017,CR-261758-G,FND-101,SELL,142.0364,2026-08-26T21:36:38Z
T501891,2026-08-26,ACC-1037,CR-894798-D,FND-101,BUY,20.1398,2026-08-26T19:36:31Z
T501894,2026-08-26,ACC-1016,CR-994125-A,FND-107,BUY,103.6654,2026-08-26T16:26:14Z
T501896,2026-08-26,ACC-1034,CR-420805-E,FND-106,SELL,833.3391,2026-08-26T21:17:46Z
T501897,2026-08-26,ACC-1037,CR-894798-D,FND-108,BUY,219.5083,2026-08-26T21:29:43Z
T501899,2026-08-26,ACC-1036,CR-353521-J,FND-104,BUY,188.4169,2026-08-26T19:36:35Z
T501906,2026-08-26,ACC-1029,CR-499954-J,FND-106,SELL,18.5921,2026-08-26T20:05:11Z
T501911,2026-08-26,ACC-1037,CR-894798-D,FND-106,BUY,184.1102,2026-08-26T19:05:13Z
T501916,2026-08-26,ACC-1008,CR-897247-G,FND-103,SELL,67.7440,2026-08-26T20:06:56Z
T501919,2026-08-26,ACC-1039,CR-218347-C,FND-102,BUY,270.1739,2026-08-26T18:09:09Z
T501923,2026-08-26,ACC-1017,CR-261758-G,FND-108,BUY,55.2420,2026-08-26T13:13:30Z
T501927,2026-08-26,ACC-1022,CR-996587-K,FND-107,SELL,3.2872,2026-08-26T15:06:58Z
