price_date,fund_code,nav,currency
2026-08-03,FND-101,24.5297,CAD
2026-08-04,FND-101,24.6201,CAD
2026-08-05,FND-101,24.4580,CAD
2026-08-06,FND-101,24.4446,CAD
2026-08-07,FND-101,24.6108,CAD
2026-08-10,FND-101,24.7003,CAD
2026-08-11,FND-101,24.7529,CAD
2026-08-12,FND-101,24.5345,CAD
2026-08-13,FND-101,24.3965,CAD
2026-08-14,FND-101,24.3364,CAD
2026-08-17,FND-101,24.3381,CAD
2026-08-18,FND-101,24.2765,CAD
2026-08-19,FND-101,24.3654,CAD
2026-08-20,FND-101,24.1056,CAD
2026-08-21,FND-101,24.0755,CAD
2026-08-24,FND-101,23.8578,CAD
2026-08-25,FND-101,23.8156,CAD
2026-08-26,FND-101,23.9094,CAD
2026-08-27,FND-101,24.0208,CAD
2026-08-28,FND-101,24.0093,CAD
2026-08-31,FND-101,23.9533,CAD
2026-08-03,FND-102,10.1739,CAD
2026-08-04,FND-102,10.1700,CAD
2026-08-05,FND-102,10.1105,CAD
2026-08-06,FND-102,10.1874,CAD
2026-08-07,FND-102,10.2691,CAD
2026-08-10,FND-102,10.2876,CAD
2026-08-11,FND-102,10.4010,CAD
2026-08-12,FND-102,10.4771,CAD
2026-08-13,FND-102,10.4456,CAD
2026-08-14,FND-102,10.5526,CAD
2026-08-17,FND-102,10.5423,CAD
2026-08-18,FND-102,10.6574,CAD
2026-08-19,FND-102,10.6541,CAD
2026-08-20,FND-102,10.6202,CAD
2026-08-21,FND-102,10.6818,CAD
2026-08-24,FND-102,10.5948,CAD
2026-08-25,FND-102,10.6554,CAD
2026-08-26,FND-102,10.6310,CAD
2026-08-27,FND-102,10.7062,CAD
2026-08-28,FND-102,10.6651,CAD
2026-08-31,FND-102,10.6800,CAD
2026-08-03,FND-103,15.7244,CAD
2026-08-04,FND-103,15.7603,CAD
2026-08-05,FND-103,15.8279,CAD
2026-08-06,FND-103,15.8082,CAD
2026-08-07,FND-103,15.7340,CAD
2026-08-10,FND-103,15.6628,CAD
2026-08-11,FND-103,15.6377,CAD
2026-08-12,FND-103,15.8636,CAD
2026-08-13,FND-103,16.0032,CAD
2026-08-14,FND-103,16.1674,CAD
2026-08-17,FND-103,16.2000,CAD
2026-08-18,FND-103,16.1749,CAD
2026-08-19,FND-103,16.2608,CAD
2026-08-20,FND-103,16.2755,CAD
2026-08-21,FND-103,16.2303,CAD
2026-08-24,FND-103,16.2640,CAD
2026-08-25,FND-103,16.0523,CAD
2026-08-26,FND-103,16.0345,CAD
2026-08-27,FND-103,16.0003,CAD
2026-08-28,FND-103,15.9490,CAD
2026-08-31,FND-103,15.9220,CAD
2026-08-03,FND-104,18.8889,CAD
2026-08-04,FND-104,19.0263,CAD
2026-08-05,FND-104,19.0245,CAD
2026-08-06,FND-104,19.1232,CAD
2026-08-07,FND-104,19.0565,CAD
2026-08-10,FND-104,18.9476,CAD
2026-08-11,FND-104,19.0580,CAD
2026-08-12,FND-104,18.9974,CAD
2026-08-13,FND-104,19.1008,CAD
2026-08-14,FND-104,19.0737,CAD
2026-08-17,FND-104,18.9353,CAD
2026-08-18,FND-104,18.9122,CAD
2026-08-19,FND-104,18.7370,CAD
2026-08-20,FND-104A,18.6936,CAD
2026-08-21,FND-104A,18.5651,CAD
2026-08-24,FND-104A,18.3905,CAD
2026-08-25,FND-104A,18.2497,CAD
2026-08-26,FND-104A,18.3055,CAD
2026-08-27,FND-104A,18.3142,CAD
2026-08-28,FND-104A,18.3607,CAD
2026-08-31,FND-104A,18.2442,CAD
2026-08-03,FND-105,10.0000,CAD
2026-08-04,FND-105,10.0000,CAD
2026-08-05,FND-105,10.0000,CAD
2026-08-06,FND-105,10.0000,CAD
2026-08-07,FND-105,10.0000,CAD
2026-08-10,FND-105,10.0000,CAD
2026-08-11,FND-105,10.0000,CAD
2026-08-12,FND-105,10.0000,CAD
2026-08-13,FND-105,10.0000,CAD
2026-08-14,FND-105,10.0000,CAD
2026-08-17,FND-105,10.0000,CAD
2026-08-18,FND-105,10.0000,CAD
2026-08-19,FND-105,10.0000,CAD
2026-08-20,FND-105,10.0000,CAD
2026-08-21,FND-105,10.0000,CAD
2026-08-24,FND-105,10.0000,CAD
2026-08-25,FND-105,10.0000,CAD
2026-08-26,FND-105,10.0000,CAD
2026-08-27,FND-105,10.0000,CAD
2026-08-28,FND-105,10.0000,CAD
2026-08-31,FND-105,10.0000,CAD
