txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T500980,2026-08-14,ACC-1005,CR-964011-B,FND-104,BUY,203.4310,2026-08-14T21:07:59Z
T500984,2026-08-14,ACC-1003,CR-952930-B,FND-108,BUY,292.5472,2026-08-14T16:46:57Z
T500986,2026-08-14,ACC-1037,CR-894798-D,FND-101,SELL,491.3033,2026-08-14T13:53:30Z
T500987,2026-08-14,ACC-1025,CR-248506-E,FND-106,BUY,219.1867,2026-08-14T13:56:04Z
T500993,2026-08-14,ACC-1023,CR-606871-D,FND-102,BUY,126.6539,2026-08-14T17:40:50Z
T500996,2026-08-14,ACC-1004,CR-394617-B,FND-103,BUY,255.5879,2026-08-14T18:29:59Z
T501002,2026-08-14,ACC-1004,CR-394617-B,FND-101,BUY,230.6043,2026-08-14T16:33:12Z
T501009,2026-08-14,ACC-1037,CR-894798-D,FND-103,BUY,15.5575,2026-08-14T14:58:53Z
T501016,2026-08-14,ACC-1007,CR-490152-D,FND-109,SELL,12.6771,2026-08-14T19:06:20Z
T501017,2026-08-14,ACC-1029,CR-499954-J,FND-106,SELL,18.3183,2026-08-14T17:14:16Z
T501019,2026-08-14,ACC-1007,CR-490152-D,FND-102,BUY,229.4654,2026-08-14T16:07:12Z
T501026,2026-08-14,ACC-1008,CR-897247-G,FND-103,BUY,213.0384,2026-08-14T21:14:12Z
T501032,2026-08-14,ACC-1018,CR-681846-G,FND-106,SELL,17.1715,2026-08-14T13:26:45Z
T501037,2026-08-14,ACC-1033,CR-884054-A,FND-107,BUY,44.2913,2026-08-14T13:17:08Z
T501041,2026-08-14,ACC-1040,CR-593506-B,FND-107,BUY,176.8550,2026-08-14T16:16:33Z
T501045,2026-08-14,ACC-1029,CR-499954-J,FND-106,BUY,33.1299,2026-08-14T20:28:51Z
T501046,2026-08-14,ACC-1036,CR-353521-J,FND-101,BUY,215.4258,2026-08-14T19:44:20Z
T501050,2026-08-14,ACC-1038,CR-762956-G,FND-108,SELL,221.2719,2026-08-14T14:40:16Z
T501055,2026-08-14,ACC-1006,CR-595853-C,FND-108,BUY,74.9682,2026-08-14T15:35:42Z
T501056,2026-08-14,ACC-1021,CR-478599-B,FND-103,SELL,544.5525,2026-08-14T18:17:25Z
T501057,2026-08-14,ACC-1016,CR-994125-A,FND-102,BUY,184.4215,2026-08-14T20:45:09Z
T501063,2026-08-14,ACC-1034,CR-420805-E,FND-103,BUY,259.8671,2026-08-14T16:45:27Z
