txn_id,batch_date,account_id,client_ref,fund_code,txn_type,units,trade_ts
T501190,2026-08-18,ACC-1015,CR-668840-D,FND-109,BUY,233.1546,2026-08-18T15:00:29Z
T501195,2026-08-18,ACC-1018,CR-681846-G,FND-105,BUY,216.5330,2026-08-18T17:35:49Z
T501200,2026-08-18,ACC-1025,CR-248506-E,FND-107,SELL,442.0071,2026-08-18T15:57:33Z
T501203,2026-08-18,ACC-1021,CR-478599-B,FND-109,SELL,27.9751,2026-08-18T17:01:14Z
T501206,2026-08-18,ACC-1031,CR-414702-G,FND-106,BUY,92.1882,2026-08-18T17:32:11Z
T501209,2026-08-18,ACC-1034,CR-420805-E,FND-108,BUY,45.5810,2026-08-18T14:23:11Z
T501214,2026-08-18,ACC-1021,CR-478599-B,FND-106,BUY,12.3850,2026-08-18T16:12:38Z
T501218,2026-08-18,ACC-1025,CR-248506-E,FND-109,BUY,126.7591,2026-08-18T17:00:42Z
T501219,2026-08-18,ACC-1021,CR-478599-B,FND-108,BUY,192.1275,2026-08-18T19:19:31Z
T501220,2026-08-18,ACC-1020,CR-788569-K,FND-101,BUY,286.3305,2026-08-18T19:51:51Z
T501227,2026-08-18,ACC-1002,CR-818622-G,FND-105,BUY,215.7093,2026-08-18T16:04:52Z
T501234,2026-08-18,ACC-1028,CR-130212-A,FND-108,BUY,150.1438,2026-08-18T13:10:57Z
T501235,2026-08-18,ACC-1022,CR-996587-K,FND-108,BUY,214.0348,2026-08-18T17:57:49Z
T501241,2026-08-18,ACC-1003,CR-952930-B,FND-107,BUY,8.6078,2026-08-18T16:27:29Z
T501246,2026-08-18,ACC-1016,CR-994125-A,FND-103,BUY,152.0423,2026-08-18T16:48:47Z
T501253,2026-08-18,ACC-1033,CR-884054-A,FND-106,BUY,176.9018,2026-08-18T20:13:29Z
T501256,2026-08-18,ACC-1005,CR-964011-B,FND-101,SELL,9.3828,2026-08-18T14:31:37Z
T501257,2026-08-18,ACC-1029,CR-499954-J,FND-109,SELL,782.2862,2026-08-18T16:41:36Z
T501262,2026-08-18,ACC-1037,CR-894798-D,FND-102,BUY,220.7841,2026-08-18T15:19:43Z
T501268,2026-08-18,ACC-1022,CR-996587-K,FND-107,SELL,4.3659,2026-08-18T20:42:00Z
T501270,2026-08-18,ACC-1034,CR-420805-E,FND-108,SELL,10.8597,2026-08-18T14:36:34Z
T501273,2026-08-18,ACC-1012,CR-131183-C,FND-109,BUY,50.9123,2026-08-18T16:15:50Z
T501274,2026-08-18,ACC-1023,CR-606871-D,FND-101,BUY,225.8688,2026-08-18T18:31:52Z
T501281,2026-08-18,ACC-1022,CR-996587-K,FND-109,BUY,35.1717,2026-08-18T14:42:03Z
