account_id,fund_code,units,market_value_cad,as_of_date
ACC-1001,FND-102,1541.6152,16464.45,2026-08-31
ACC-1001,FND-103,1494.8955,23801.73,2026-08-31
ACC-1001,FND-104A,508.0551,9269.06,2026-08-31
ACC-1001,FND-107,76.5281,5329.23,2026-08-31
ACC-1001,FND-108,469.6315,17512.54,2026-08-31
ACC-1001,FND-109,22.6795,881.98,2026-08-31
ACC-1002,FND-101,1525.3157,36536.34,2026-08-31
ACC-1002,FND-102,1821.5037,19453.66,2026-08-31
ACC-1002,FND-104A,453.2290,8268.80,2026-08-31
ACC-1002,FND-105,215.7093,2157.09,2026-08-31
ACC-1002,FND-106,561.0572,17641.83,2026-08-31
ACC-1002,FND-107,66.5124,4631.76,2026-08-31
ACC-1002,FND-108,1280.9479,47766.49,2026-08-31
ACC-1003,FND-101,777.5385,18624.61,2026-08-31
ACC-1003,FND-102,499.0291,5329.63,2026-08-31
ACC-1003,FND-103,46.7942,745.06,2026-08-31
ACC-1003,FND-104A,762.5253,13911.66,2026-08-31
ACC-1003,FND-105,277.7166,2777.17,2026-08-31
ACC-1003,FND-106,695.3655,21865.00,2026-08-31
ACC-1003,FND-107,8.6078,599.43,2026-08-31
ACC-1003,FND-108,292.5472,10909.07,2026-08-31
ACC-1004,FND-101,204.3909,4895.84,2026-08-31
ACC-1004,FND-103,1559.4581,24829.69,2026-08-31
ACC-1004,FND-104A,1766.5577,32229.43,2026-08-31
ACC-1004,FND-105,194.9399,1949.40,2026-08-31
ACC-1004,FND-106,393.0655,12359.51,2026-08-31
ACC-1004,FND-108,110.3623,4115.41,2026-08-31
ACC-1004,FND-109,161.9596,6298.41,2026-08-31
ACC-1005,FND-101,39.7224,951.48,2026-08-31
ACC-1005,FND-102,202.8118,2166.03,2026-08-31
ACC-1005,FND-103,2354.6259,37490.35,2026-08-31
ACC-1005,FND-104A,2667.4499,48665.49,2026-08-31
ACC-1005,FND-105,954.7740,9547.74,2026-08-31
ACC-1005,FND-106,1051.4652,33062.17,2026-08-31
ACC-1005,FND-107,543.5295,37850.08,2026-08-31
ACC-1005,FND-108,282.1797,10522.47,2026-08-31
ACC-1005,FND-109,872.3526,33924.75,2026-08-31
ACC-1006,FND-103,769.9046,12258.42,2026-08-31
ACC-1006,FND-104A,246.5719,4498.51,2026-08-31
ACC-1006,FND-107,1138.0144,79248.56,2026-08-31
ACC-1006,FND-108,74.9682,2795.56,2026-08-31
ACC-1007,FND-101,1063.2108,25467.41,2026-08-31
ACC-1007,FND-102,1022.5268,10920.59,2026-08-31
ACC-1007,FND-103,102.5560,1632.90,2026-08-31
ACC-1007,FND-104A,864.4489,15771.18,2026-08-31
ACC-1007,FND-107,1591.2395,110810.06,2026-08-31
ACC-1007,FND-108,2612.5752,97422.81,2026-08-31
ACC-1007,FND-109,139.0443,5407.27,2026-08-31
ACC-1008,FND-101,471.0371,11282.89,2026-08-31
ACC-1008,FND-103,145.2944,2313.38,2026-08-31
ACC-1008,FND-104A,673.1767,12281.57,2026-08-31
ACC-1008,FND-105,1231.0640,12310.64,2026-08-31
ACC-1008,FND-107,1117.3532,77809.77,2026-08-31
ACC-1008,FND-109,1096.5762,42644.53,2026-08-31
ACC-1009,FND-101,1902.7899,45578.10,2026-08-31
ACC-1009,FND-102,2446.9715,26133.66,2026-08-31
ACC-1009,FND-103,2422.8015,38575.85,2026-08-31
ACC-1009,FND-104A,979.8128,17875.90,2026-08-31
ACC-1009,FND-106,253.3892,7967.54,2026-08-31
ACC-1009,FND-108,140.5441,5240.88,2026-08-31
ACC-1009,FND-109,230.4101,8960.37,2026-08-31
ACC-1010,FND-101,176.1494,4219.36,2026-08-31
ACC-1010,FND-103,1088.3172,17328.19,2026-08-31
ACC-1010,FND-104A,857.3621,15641.89,2026-08-31
ACC-1010,FND-105,250.9396,2509.40,2026-08-31
ACC-1010,FND-106,123.1304,3871.70,2026-08-31
ACC-1010,FND-107,183.3745,12769.76,2026-08-31
ACC-1010,FND-108,1421.9173,53023.23,2026-08-31
ACC-1011,FND-102,407.6601,4353.81,2026-08-31
ACC-1011,FND-103,336.0965,5351.33,2026-08-31
ACC-1011,FND-104A,673.1584,12281.24,2026-08-31
ACC-1011,FND-105,2013.0000,20130.00,2026-08-31
ACC-1011,FND-106,453.1188,14247.82,2026-08-31
ACC-1011,FND-107,64.7718,4510.55,2026-08-31
ACC-1011,FND-108,1645.8440,61373.45,2026-08-31
ACC-1011,FND-109,1275.4668,49601.37,2026-08-31
ACC-1012,FND-101,388.3320,9301.83,2026-08-31
ACC-1012,FND-102,1846.6132,19721.83,2026-08-31
ACC-1012,FND-103,1156.6314,18415.89,2026-08-31
ACC-1012,FND-104A,1044.0443,19047.75,2026-08-31
ACC-1012,FND-105,139.2356,1392.36,2026-08-31
ACC-1012,FND-106,105.8788,3329.24,2026-08-31
ACC-1012,FND-107,256.7493,17879.40,2026-08-31
ACC-1012,FND-108,2438.5715,90934.22,2026-08-31
ACC-1012,FND-109,50.9123,1979.92,2026-08-31
ACC-1013,FND-101,73.5319,1761.33,2026-08-31
ACC-1013,FND-103,180.2178,2869.43,2026-08-31
ACC-1013,FND-104A,166.9766,3046.35,2026-08-31
ACC-1013,FND-105,76.3443,763.44,2026-08-31
ACC-1013,FND-106,1572.8311,49455.94,2026-08-31
ACC-1013,FND-108,1611.5828,60095.85,2026-08-31
ACC-1013,FND-109,111.0601,4318.99,2026-08-31
ACC-1014,FND-101,229.0022,5485.36,2026-08-31
ACC-1014,FND-102,2025.1318,21628.41,2026-08-31
ACC-1014,FND-103,126.2162,2009.61,2026-08-31
ACC-1014,FND-105,934.2943,9342.94,2026-08-31
ACC-1014,FND-106,1616.7594,50837.22,2026-08-31
ACC-1014,FND-107,61.3282,4270.75,2026-08-31
ACC-1014,FND-108,168.7594,6293.03,2026-08-31
ACC-1014,FND-109,289.9590,11276.16,2026-08-31
ACC-1015,FND-102,1373.7027,14671.14,2026-08-31
ACC-1015,FND-103,593.9073,9456.19,2026-08-31
ACC-1015,FND-104A,153.1134,2793.43,2026-08-31
ACC-1015,FND-105,38.8399,388.40,2026-08-31
ACC-1015,FND-106,3259.5796,102493.89,2026-08-31
ACC-1015,FND-107,1143.6770,79642.89,2026-08-31
ACC-1015,FND-108,396.6834,14792.31,2026-08-31
ACC-1015,FND-109,364.9173,14191.20,2026-08-31
ACC-1016,FND-101,526.9007,12621.01,2026-08-31
ACC-1016,FND-102,184.4215,1969.62,2026-08-31
ACC-1016,FND-103,262.2083,4174.88,2026-08-31
ACC-1016,FND-104A,458.9266,8372.75,2026-08-31
ACC-1016,FND-106,597.1505,18776.74,2026-08-31
ACC-1016,FND-107,590.0835,41091.98,2026-08-31
ACC-1016,FND-108,312.4855,11652.57,2026-08-31
ACC-1016,FND-109,625.2495,24315.20,2026-08-31
ACC-1017,FND-101,435.8913,10441.04,2026-08-31
ACC-1017,FND-103,1929.7206,30725.01,2026-08-31
ACC-1017,FND-105,492.6740,4926.74,2026-08-31
ACC-1017,FND-106,1098.0169,34525.93,2026-08-31
ACC-1017,FND-107,1948.6158,135696.88,2026-08-31
ACC-1017,FND-108,336.5001,12548.07,2026-08-31
ACC-1017,FND-109,958.5008,37274.95,2026-08-31
ACC-1018,FND-101,634.4287,15196.66,2026-08-31
ACC-1018,FND-103,521.3520,8300.97,2026-08-31
ACC-1018,FND-104A,547.3138,9985.30,2026-08-31
ACC-1018,FND-105,216.5330,2165.33,2026-08-31
ACC-1018,FND-106,457.1694,14375.19,2026-08-31
ACC-1018,FND-107,188.3488,13116.15,2026-08-31
ACC-1018,FND-108,255.5621,9529.90,2026-08-31
ACC-1019,FND-101,921.6361,22076.23,2026-08-31
ACC-1019,FND-102,50.5492,539.87,2026-08-31
ACC-1019,FND-103,664.9235,10586.91,2026-08-31
ACC-1019,FND-104A,236.8344,4320.85,2026-08-31
ACC-1019,FND-105,1806.7462,18067.46,2026-08-31
ACC-1019,FND-107,187.4576,13054.09,2026-08-31
ACC-1019,FND-109,1439.4280,55977.63,2026-08-31
ACC-1020,FND-101,1265.2646,30307.26,2026-08-31
ACC-1020,FND-102,77.1663,824.14,2026-08-31
ACC-1020,FND-103,344.4026,5483.58,2026-08-31
ACC-1020,FND-104A,908.4835,16574.55,2026-08-31
ACC-1020,FND-106,864.0979,27170.61,2026-08-31
ACC-1021,FND-101,279.0730,6684.72,2026-08-31
ACC-1021,FND-103,982.7677,15647.63,2026-08-31
ACC-1021,FND-105,707.1201,7071.20,2026-08-31
ACC-1021,FND-106,533.0858,16762.30,2026-08-31
ACC-1021,FND-108,868.2213,32375.93,2026-08-31
ACC-1021,FND-109,252.0924,9803.57,2026-08-31
ACC-1022,FND-101,881.6432,21118.26,2026-08-31
ACC-1022,FND-102,1018.6316,10878.99,2026-08-31
ACC-1022,FND-103,517.8778,8245.65,2026-08-31
ACC-1022,FND-104A,313.6673,5722.61,2026-08-31
ACC-1022,FND-105,202.1851,2021.85,2026-08-31
ACC-1022,FND-106,939.6012,29544.73,2026-08-31
ACC-1022,FND-107,239.7293,16694.17,2026-08-31
ACC-1022,FND-108,110.3005,4113.10,2026-08-31
ACC-1022,FND-109,799.9861,31110.50,2026-08-31
ACC-1023,FND-101,691.4393,16562.25,2026-08-31
ACC-1023,FND-102,688.9464,7357.95,2026-08-31
ACC-1023,FND-103,905.0533,14410.26,2026-08-31
ACC-1023,FND-104A,57.3013,1045.42,2026-08-31
ACC-1023,FND-105,732.6519,7326.52,2026-08-31
ACC-1023,FND-109,33.3187,1295.72,2026-08-31
ACC-1024,FND-101,408.3152,9780.50,2026-08-31
ACC-1024,FND-102,456.6907,4877.46,2026-08-31
ACC-1024,FND-104A,204.1185,3723.98,2026-08-31
ACC-1024,FND-105,1368.1599,13681.60,2026-08-31
ACC-1024,FND-106,1660.4208,52210.11,2026-08-31
ACC-1024,FND-107,335.8313,23386.48,2026-08-31
ACC-1024,FND-108,1884.5068,70273.17,2026-08-31
ACC-1024,FND-109,857.0766,33330.68,2026-08-31
ACC-1025,FND-103,475.3839,7569.06,2026-08-31
ACC-1025,FND-104A,199.5274,3640.22,2026-08-31
ACC-1025,FND-105,942.9394,9429.39,2026-08-31
ACC-1025,FND-106,448.2580,14094.98,2026-08-31
ACC-1025,FND-107,1178.5993,82074.80,2026-08-31
ACC-1025,FND-108,704.7003,26278.24,2026-08-31
ACC-1025,FND-109,543.1339,21121.83,2026-08-31
ACC-1026,FND-101,1986.6570,47586.99,2026-08-31
ACC-1026,FND-102,1662.3584,17753.99,2026-08-31
ACC-1026,FND-103,534.4324,8509.23,2026-08-31
ACC-1026,FND-104A,2409.5087,43959.56,2026-08-31
ACC-1026,FND-105,293.5112,2935.11,2026-08-31
ACC-1026,FND-106,2423.6114,76207.79,2026-08-31
ACC-1026,FND-108,1673.4824,62404.08,2026-08-31
ACC-1026,FND-109,35.2272,1369.94,2026-08-31
ACC-1028,FND-101,215.4646,5161.09,2026-08-31
ACC-1028,FND-102,227.3483,2428.08,2026-08-31
ACC-1028,FND-103,1984.4965,31597.15,2026-08-31
ACC-1028,FND-104A,870.3520,15878.88,2026-08-31
ACC-1028,FND-105,15.5757,155.76,2026-08-31
ACC-1028,FND-106,1448.1998,45537.05,2026-08-31
ACC-1028,FND-107,146.9762,10235.07,2026-08-31
ACC-1028,FND-108,587.4894,21907.45,2026-08-31
ACC-1029,FND-101,120.7009,2891.18,2026-08-31
ACC-1029,FND-102,68.0103,726.35,2026-08-31
ACC-1029,FND-103,81.2908,1294.31,2026-08-31
ACC-1029,FND-105,1231.8296,12318.30,2026-08-31
ACC-1029,FND-106,200.4452,6302.78,2026-08-31
ACC-1029,FND-107,243.0882,16928.07,2026-08-31
ACC-1029,FND-108,123.3383,4599.28,2026-08-31
ACC-1029,FND-109,1540.9415,59925.37,2026-08-31
ACC-1030,FND-102,141.6359,1512.67,2026-08-31
ACC-1030,FND-103,1871.1793,29792.92,2026-08-31
ACC-1030,FND-104A,1889.5553,34473.42,2026-08-31
ACC-1030,FND-105,70.3241,703.24,2026-08-31
ACC-1030,FND-106,1551.4500,48783.64,2026-08-31
ACC-1030,FND-108,1863.5479,69491.62,2026-08-31
ACC-1031,FND-101,294.4320,7052.62,2026-08-31
ACC-1031,FND-102,1125.2627,12017.81,2026-08-31
ACC-1031,FND-103,2173.6217,34608.40,2026-08-31
ACC-1031,FND-105,294.0000,2940.00,2026-08-31
ACC-1031,FND-106,92.1882,2898.76,2026-08-31
ACC-1031,FND-107,323.3125,22514.70,2026-08-31
ACC-1031,FND-109,555.4879,21602.26,2026-08-31
ACC-1032,FND-101,432.5456,10360.89,2026-08-31
ACC-1032,FND-102,169.0071,1805.00,2026-08-31
ACC-1032,FND-103,121.6730,1937.28,2026-08-31
ACC-1032,FND-104A,1523.2188,27789.91,2026-08-31
ACC-1032,FND-107,172.1261,11986.44,2026-08-31
ACC-1032,FND-109,1637.4133,63677.04,2026-08-31
ACC-1033,FND-102,216.3290,2310.39,2026-08-31
ACC-1033,FND-103,68.5942,1092.16,2026-08-31
ACC-1033,FND-104A,934.9883,17058.11,2026-08-31
ACC-1033,FND-106,1512.3521,47554.25,2026-08-31
ACC-1033,FND-107,243.7336,16973.02,2026-08-31
ACC-1033,FND-108,54.8427,2045.08,2026-08-31
ACC-1033,FND-109,182.9302,7113.94,2026-08-31
ACC-1035,FND-101,815.6365,19537.19,2026-08-31
ACC-1035,FND-103,393.9946,6273.18,2026-08-31
ACC-1035,FND-104A,622.5988,11358.82,2026-08-31
ACC-1035,FND-105,1305.4121,13054.12,2026-08-31
ACC-1035,FND-106,378.7838,11910.44,2026-08-31
ACC-1035,FND-107,1012.1908,70486.51,2026-08-31
ACC-1036,FND-101,215.4258,5160.16,2026-08-31
